Timestamp,Ticker,Headline,Sentiment_Score,Label
2025-12-23T05:13:55.942037,Gold,UK Stock Market Today (23 December 2025): FTSE 100 Faces Thin Holiday Trading as Gold Hits Fresh Records and Investors Watch US Data,-0.589547872543335,Negative
2025-12-23T05:13:55.942582,Gold,Stock Bulls Drive S&P 500 to the Brink of Record: Markets Wrap,-0.5695893168449402,Negative
2025-12-23T05:13:55.942628,Gold,"Stock Market Today: S&P 500 Rises; Dow Gains, Gold, Silver Prices Hit Records",0.874272882938385,Positive
2025-12-23T05:13:55.942668,Gold,"US stocks push higher while gold, silver notch fresh records",0.8478516936302185,Positive
2025-12-23T05:13:55.942709,Gold,"Stock market today: Dow, S&P 500, Nasdaq rise for third straight day, gold hits record to extend 2025 rally",0.7591671943664551,Positive
2025-12-23T05:13:55.942749,Gold,"Stock Market Today (Dec. 22, 2025): Dow, S&P 500 and Nasdaq Rise as Nvidia Rebounds, Tesla Jumps and Gold Hits RecordsGold",0.6766685247421265,Positive
2025-12-23T05:13:55.942788,Gold,"Stock market today: Nasdaq, S&P 500, Dow futures rise as tech recovers, while gold climbs to record high",0.9060235023498536,Positive
2025-12-23T05:13:55.942826,Gold,Gold prices hit record high on US interest rate cut bets,0.8898961544036865,Positive
2025-12-23T05:13:55.942863,Gold,7 Best-Performing Gold Stocks For Hedging Against Volatility (December 2025),0.0,Neutral
2025-12-23T05:13:55.942901,Gold,Top Canadian Gold Stocks of 2025,0.0,Neutral
2025-12-23T05:13:55.942939,Gold,"Stock market today: S&P 500, Nasdaq notch fourth day of gains with next week's Fed meeting in focus",0.825444757938385,Positive
2025-12-23T05:13:55.942977,Gold,7 of the Best Gold Stocks to Buy for 2026,0.0,Neutral
2025-12-23T05:13:55.943015,Gold,"Stock Market Today: Bitcoin Rebounds, Nasdaq and Dow Move Higher, Gold price hit $4,208",0.7320652008056641,Positive
2025-12-23T05:13:55.943053,Gold,What's ahead for stocks and gold in 2026? What experts are watching.,0.0,Neutral
2025-12-23T05:13:55.943091,Gold,"Robert Kiyosaki warns the ‘biggest crash in history’ is starting, says millions to ‘lose everything.’ How prepare now",0.0,Neutral
2025-12-23T05:13:55.943129,Gold,2 of the Best Gold Stocks to Buy Right Now,0.0,Neutral
2025-12-23T05:13:55.943166,Gold,"Muthoot Finance hits new high, gains 16% in Nov; what's behind the rally?",0.0,Neutral
2025-12-23T05:13:55.943204,Gold,"Gold extends losses, though Bank of America sees a path to $5,000 in 2026",0.6330063343048096,Positive
2025-12-23T05:13:55.943243,Gold,"Gold Advances as Traders Bet on December Rate Cut, Await US Data",0.3916032314300537,Positive
2025-12-23T05:13:55.943282,Gold,How to Build a Global Investment Portfolio for the Next Decade,0.0,Neutral
2025-12-23T05:13:55.943321,Gold,5 stocks to buy—and 5 to avoid—if 2026 brings a downturn,-0.649170458316803,Negative
